Report generated on: 11-17-2024 10:07:11
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","crude oil including lease condensate production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-1-BLR-TBPD.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","39","40","40","39","36.82993442622951","36.11455068493151","36.49975890410959","37.116164383561646","36.919","37.04","36.92","36.4","35.981","35.7","35.6","35.2","35","33","30","30","30","30","30","26.084931506849315","32.666666666666664","31.961024657534246"
"INTL.57-1-BEL-TBPD.A","        Belgium","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-BLZ-TBPD.A","        Belize","","","","","","","","","","","","","","","","","","","","","","","","","0","0","2.2573095890410957","2.9997972602739726","3.5106639344262294","3.9895013698630137","4.146978082191781","3.853449315068493","2.814051912568306","2.1708383561643836","1.760041095890411","1.7084931506849315","1.7","0.9896624109287672"
"INTL.57-1-BEN-TBPD.A","        Benin","","","","","5","7","7","6","4","3","4","4","4","4","3","2","1","1","1","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-BMU-TBPD.A","        Bermuda","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-BTN-TBPD.A","        Bhutan","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-BOL-TBPD.A","        Bolivia","","","","","21","20","18","19","19","19.92876712328767","21.013698630136986","22","21","20.915068493150685","28","31","35","33","38","32","31.415071038251366","35.794342465753424","36.74794520547945","39.25479452054795","45.99726775956284","42.23828493150685","40.772084931506846","41.17101917808219","38.8765737704918","33.780109589041096","34.54167123287671","35.50830136986301","41.567185792349726","47.49224657534246","51.09890410958904","55.60512328767123","59.444357923497265","43.07478123283562"
"INTL.57-1-BIH-TBPD.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-BWA-TBPD.A","        Botswana","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-BRA-TBPD.A","        Brazil","","","","","459.8743169398907","546","572","566.1835616438356","554.0491803278688","595.1041095890411","630.7945205479452","622.5041095890411","628.0054644808744","642.972602739726","661.9078958904109","685.6971671232877","777.1066803278688","835.6040301369864","968.9923808219178","1098.0044109589041","1231.2237978142077","1292.6764657534247","1452.6861643835616","1495.912191780822","1475.8612021857923","1638.8366931506848","1727.3383506849316","1751.4954328767124","1812.2280300546447","1950.3640301369862","2054.667994520548","2105.399580821918","2061.225494535519","2023.8754657534246","2254.600306849315","2437.444901369863","2509.975775956284","2621.71964729797"
"INTL.57-1-VGB-TBPD.A","        British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-BRN-TBPD.A","        Brunei","","","","","155.2622950819672","148.97260273972603","149","139","133","132","134","147","164.54918032786884","172.5205479452055","165.66027397260274","162","152","149","143","167","179","188","194.36712328767123","198","193.05464480874318","187.67945205479452","199.07397260273973","169.6986301369863","133.4863387978142","128.60821917808218","131.0849315068493","156.45205479452054","145.6584699453552","122.14246575342466","114.44931506849315","115.32876712328768","109.11748633879782","100.64383561643835"
